Photon    Coherent Incoher. Photoel. Nuclear  Electron Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Pr. Prd. Pr. Prd. Coherent Coherent 

2.400E+01 2.908E-06 2.110E-01 1.619E-06 2.277E-01 2.161E-02 4.603E-01 4.603E-01 
2.600E+01 2.478E-06 1.981E-01 1.489E-06 2.361E-01 2.284E-02 4.570E-01 4.570E-01 
2.800E+01 2.136E-06 1.869E-01 1.378E-06 2.439E-01 2.399E-02 4.548E-01 4.548E-01 
3.000E+01 1.861E-06 1.770E-01 1.283E-06 2.511E-01 2.506E-02 4.532E-01 4.532E-01 
4.000E+01 1.047E-06 1.406E-01 9.531E-07 2.804E-01 2.958E-02 4.506E-01 4.506E-01 
5.000E+01 6.699E-07 1.174E-01 7.581E-07 3.028E-01 3.309E-02 4.533E-01 4.533E-01 
6.000E+01 4.652E-07 1.011E-01 6.294E-07 3.204E-01 3.594E-02 4.574E-01 4.574E-01 
8.000E+01 2.617E-07 7.977E-02 4.698E-07 3.472E-01 4.036E-02 4.673E-01 4.673E-01 
1.000E+02 1.675E-07 6.621E-02 3.747E-07 3.668E-01 4.368E-02 4.767E-01 4.767E-01 
1.500E+02 7.443E-08 4.715E-02 2.488E-07 3.993E-01 4.942E-02 4.959E-01 4.959E-01 
2.000E+02 4.186E-08 3.697E-02 1.863E-07 4.193E-01 5.316E-02 5.094E-01 5.094E-01 
3.000E+02 1.861E-08 2.620E-02 1.239E-07 4.433E-01 5.791E-02 5.274E-01 5.274E-01 
4.000E+02 1.047E-08 2.052E-02 9.287E-08 4.573E-01 6.084E-02 5.387E-01 5.387E-01 
5.000E+02 6.698E-09 1.699E-02 7.425E-08 4.666E-01 6.286E-02 5.465E-01 5.465E-01 
6.000E+02 4.652E-09 1.455E-02 6.185E-08 4.733E-01 6.436E-02 5.522E-01 5.522E-01 
8.000E+02 2.617E-09 1.136E-02 4.637E-08 4.823E-01 6.645E-02 5.601E-01 5.601E-01 
1.000E+03 1.675E-09 9.346E-03 3.708E-08 4.882E-01 6.784E-02 5.654E-01 5.654E-01 
1.500E+03 7.443E-10 6.527E-03 2.471E-08 4.968E-01 6.993E-02 5.733E-01 5.733E-01 
2.000E+03 4.186E-10 5.052E-03 1.853E-08 5.015E-01 7.111E-02 5.777E-01 5.777E-01 
3.000E+03 1.861E-10 3.512E-03 1.235E-08 5.066E-01 7.241E-02 5.825E-01 5.825E-01 
4.000E+03 1.047E-10 2.711E-03 9.262E-09 5.093E-01 7.317E-02 5.852E-01 5.852E-01 
5.000E+03 6.698E-11 2.217E-03 7.409E-09 5.110E-01 7.364E-02 5.869E-01 5.869E-01 
6.000E+03 4.652E-11 1.880E-03 6.174E-09 5.123E-01 7.396E-02 5.881E-01 5.881E-01 
8.000E+03 2.617E-11 1.448E-03 4.630E-09 5.138E-01 7.440E-02 5.896E-01 5.896E-01 
1.000E+04 1.675E-11 1.182E-03 3.704E-09 5.148E-01 7.468E-02 5.907E-01 5.907E-01 
1.500E+04 7.443E-12 8.172E-04 2.469E-09 5.162E-01 7.505E-02 5.921E-01 5.921E-01 
2.000E+04 4.186E-12 6.282E-04 1.852E-09 5.170E-01 7.527E-02 5.929E-01 5.929E-01 
3.000E+04 1.861E-12 4.333E-04 1.235E-09 5.178E-01 7.548E-02 5.937E-01 5.937E-01 
4.000E+04 1.047E-12 3.326E-04 9.260E-10 5.182E-01 7.562E-02 5.942E-01 5.942E-01 
5.000E+04 6.698E-13 2.709E-04 7.408E-10 5.184E-01 7.570E-02 5.944E-01 5.944E-01 
6.000E+04 4.652E-13 2.290E-04 6.173E-10 5.186E-01 7.575E-02 5.946E-01 5.946E-01 
8.000E+04 2.617E-13 1.756E-04 4.630E-10 5.188E-01 7.580E-02 5.948E-01 5.948E-01 
1.000E+05 1.675E-13 1.428E-04 3.704E-10 5.190E-01 7.585E-02 5.950E-01 5.950E-01 
